input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,128,32,2,16,2,4,0,0.14044800400733948
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,32,64,2,0,2,8,0,0.299003005027771
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,32,64,2,16,2,8,0,0.13367800414562225
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,32,2,0,2,8,0,0.1881989985704422
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,32,2,16,2,8,0,0.1289909929037094
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,32,2,0,2,4,0,0.11605200171470642
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,32,2,16,2,4,0,0.09277799725532532
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,16,64,2,0,2,4,0,0.19288599491119385
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,16,64,2,16,2,4,0,0.19128400087356567
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,64,2,0,2,4,0,0.11392900347709656
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,64,2,16,2,4,0,0.12206099927425385
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,64,2,0,2,8,0,0.10567600280046463
