kernel_name,size_hints,fastest_us,config
triton_poi_fused_mul_relu_0,{'x': 16384},6.64,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 16777216},21.441,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 2097152},7.04,XBLOCK=512 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 262144},6.64,XBLOCK=4096 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 32768},6.6,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 4096},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 4194304},7.84,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 512},6.48,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 65536},6.4,XBLOCK=4096 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 67108864},91.202,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 8388608},10.84,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 1048576},6.72,XBLOCK=1024 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 131072},6.56,XBLOCK=4096 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 16384},6.56,XBLOCK=128 num_warps=2
triton_poi_fused_relu_sigmoid_0,{'x': 16777216},21.88,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 2097152},7.041,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 262144},6.64,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 32768},6.44,XBLOCK=256 num_warps=1
triton_poi_fused_relu_sigmoid_0,{'x': 4096},6.56,XBLOCK=4096 waves_per_eu=2 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 4194304},8.28,XBLOCK=1024 num_warps=4
