kernel_name,size_hints,fastest_us,config
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",32.601,XBLOCK=1 R0_BLOCK=4096 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",32.161,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 8, 'r0_': 8192}",32.24,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 128, 'r0_': 8192}",60.602,XBLOCK=2 R0_BLOCK=2048 num_warps=4
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 32, 'r0_': 8192}",30.201,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",27.96,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 512, 'r0_': 8192}",64.562,XBLOCK=4 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",31.681,XBLOCK=2 R0_BLOCK=4096 num_warps=4
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",21.441,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",21.761,XBLOCK=1 R0_BLOCK=8192 num_warps=4
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",40.241,XBLOCK=4 R0_BLOCK=2048 num_warps=4
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",23.76,XBLOCK=2 R0_BLOCK=4096 num_warps=4
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 2048, 'r0_': 2048}",38.721,XBLOCK=8 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 8, 'r0_': 8192}",20.8,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 128, 'r0_': 8192}",23.361,XBLOCK=2 R0_BLOCK=2048 num_warps=4
triton_red_fused_add_div_max_mul_0,"{'x': 32, 'r0_': 8192}",19.921,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=4
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",19.96,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=4
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",25.201,XBLOCK=4 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 8, 'r0_': 8192}",19.761,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_add_div_mean_mul_var_4,"{'x': 128, 'r0_': 8192}",26.161,XBLOCK=2 R0_BLOCK=4096 num_warps=4
triton_red_fused_add_div_mean_mul_var_4,"{'x': 8, 'r0_': 8192}",21.56,XBLOCK=1 R0_BLOCK=2048 num_warps=4
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",34.281,XBLOCK=2 R0_BLOCK=2048 num_warps=4
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 32, 'r0_': 8192}",24.8,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_mean_1,"{'x': 1, 'r0_': 2048}",19.681,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=4
triton_red_fused_mean_2,"{'x': 1, 'r0_': 2048}",19.441,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_mean_std_1,"{'x': 1024, 'r0_': 8192}",96.443,XBLOCK=16 R0_BLOCK=1024 num_warps=8
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",35.641,XBLOCK=8 R0_BLOCK=1024 num_warps=8
triton_red_fused_std_2,"{'x': 1, 'r0_': 2048}",19.8,XBLOCK=1 R0_BLOCK=1024 num_warps=4
triton_red_fused_std_3,"{'x': 1, 'r0_': 2048}",19.6,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",26.96,XBLOCK=2 R0_BLOCK=2048 num_warps=4
triton_red_fused_std_3,"{'x': 32, 'r0_': 8192}",20.041,XBLOCK=1 R0_BLOCK=4096 waves_per_eu=2 num_warps=4
triton_red_fused_std_3,"{'x': 4, 'r0_': 8192}",21.001,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",28.121,XBLOCK=4 R0_BLOCK=2048 num_warps=4
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.64,XBLOCK=2 R0_BLOCK=2048 num_warps=4
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.28,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_var_5,"{'x': 4, 'r0_': 8192}",20.121,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",27.881,XBLOCK=4 R0_BLOCK=2048 num_warps=4
